# Format: routeId|sourceId,sourceName,sourceLocation|destId,destName,destLocation|distanceKm
R01|ST01,KL Sentral,Kuala Lumpur|ST02,Masjid Jamek,Kuala Lumpur|5.5
R02|ST01,KL Sentral,Kuala Lumpur|ST03,Pasar Seni,Kuala Lumpur|7.2
R03|ST02,Masjid Jamek,Kuala Lumpur|ST04,jacjac,jacjac|3.8
R04|ST01,KL Sentral,Kuala Lumpur|ST04,jacjac,jacjac|20.0
R05|ST07,Maluri AEON,Taman Maluri|ST05,Bukit Dukung,Kajang|10.0
R06|ST01,KL Sentral,Kuala Lumpur|ST07,Maluri AEON,Taman Maluri|100.0
R07|ST01,KL Sentral,Kuala Lumpur|ST06,Taman Cochrane,Kajang|90.0
R08|ST02,Masjid Jamek,Kuala Lumpur|ST03,Pasar Seni,Kuala Lumpur|100.0
R09|ST04,jacjac,jacjac|ST05,Bukit Dukung,Kajang|10.0
R10|ST04,jacjac,jacjac|ST05,Bukit Dukung,Kajang|10.0
